kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos
Bekasi,4,27.35,86.21,79.46,33.05,229.7,0.5355,2,bekasi,Kota Bekasi,920,4.380952380952381,0.021739130434782608,0.8660254037844387,-0.4999999999999998
Bogor,4,24.94,88.06,75.65,29.84,535.1,0.7259,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.008951788226267104,0.8660254037844387,-0.4999999999999998
Bogor,4,24.94,88.06,75.65,29.84,535.1,0.7259,1,bogor,Kota Bogor,4600,38.983050847457626,0.021739130434782608,0.8660254037844387,-0.4999999999999998
Cianjur,4,24.09,89.38,74.35,27.82,437.8,0.7797,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439084,0.8660254037844387,-0.4999999999999998
Cirebon,4,27.29,84.81,79.19,32.0,255.1,0.6563,2,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.002091175240485153,0.8660254037844387,-0.4999999999999998
Cirebon,4,27.29,84.81,79.19,32.0,255.1,0.6563,2,cirebon,Kota Cirebon,1510,40.810810810810814,0.006622516556291391,0.8660254037844387,-0.4999999999999998
Garut,4,22.96,89.4,72.44,27.0,366.2,0.7981,1,garut,Kabupaten Garut,1371800,447.5693311582382,0.018224230937454438,0.8660254037844387,-0.4999999999999998
Indramayu,4,27.49,85.42,79.6,30.21,206.7,0.685,2,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045558,0.8660254037844387,-0.4999999999999998
Karawang,4,27.3,86.55,79.43,31.66,217.9,0.5394,2,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397769,0.8660254037844387,-0.4999999999999998
Kota Bandung,4,23.25,89.29,72.91,33.89,385.3,0.3773,1,bandung,Kabupaten Bandung,502000,283.9366515837104,0.07569721115537849,0.8660254037844387,-0.4999999999999998
Kota Bandung,4,23.25,89.29,72.91,33.89,385.3,0.3773,1,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017096,0.8660254037844387,-0.4999999999999998
Kota Bogor,4,25.49,88.09,76.57,34.99,631.3,0.5053,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.008951788226267104,0.8660254037844387,-0.4999999999999998
Kota Bogor,4,25.49,88.09,76.57,34.99,631.3,0.5053,1,bogor,Kota Bogor,4600,38.983050847457626,0.021739130434782608,0.8660254037844387,-0.4999999999999998
